KPI_Metric_Id,Task_ID,Resource_IDs,Durations_Resource_IDs,Task_Weight
1,1,[13],[34.75],0.3672632172804319
1,2,"[44, 45, 59]","[8.0, 23.25, 70.25]",0.11316888445457077
1,3,"[44, 45, 59]","[27.75, 55.25, 33.25]",0.10545698176742273
1,4,"[11, 15, 40]","[2.25, 19.75, 18.75]",0.13399863209886995
1,5,"[11, 15, 40]","[29.75, 55.5, 50.75]",0.28011228439870484
2,6,"[27, 31, 46, 55]","[4.0, 52.25, 34.5, 4.25]",0.21147380829795367
2,7,"[10, 49, 51]","[0.25, 1.25, 59.0]",0.11500560181308775
2,8,"[23, 25, 41, 52]","[66.0, 39.75, 30.5, 18.5]",0.16940376933373072
2,9,"[5, 16, 24]","[4.5, 73.25, 66.75]",0.3141797975816518
2,10,"[19, 29, 56]","[46.25, 18.75, 12.25]",0.1899370229735761
3,11,"[4, 12, 14, 20]","[60.75, 49.25, 73.0, 13.75]",0.3643649801953116
3,12,"[22, 26, 34, 54, 60]","[22.25, 48.0, 33.75, 38.25, 25.75]",0.12986079757586746
3,13,"[1, 48]","[6.75, 67.25]",0.027824689001481825
3,14,"[27, 31, 46, 55]","[47.5, 10.5, 44.0, 34.0]",0.12721602585851854
3,15,"[5, 16, 24]","[47.75, 64.5, 15.25]",0.35073350736882075
4,16,"[22, 26, 34, 54, 60]","[8.0, 65.0, 31.25, 1.75, 36.0]",0.3271112740569543
4,17,"[2, 7, 39, 53]","[70.5, 67.25, 10.25, 63.0]",0.2785961958800704
4,18,"[35, 37]","[72.75, 32.0]",0.015003018567653643
4,19,"[23, 25, 41, 52]","[41.25, 59.0, 61.0, 53.75]",0.031087197721317725
4,20,"[23, 25, 41, 52]","[74.75, 22.75, 45.5, 4.5]",0.3482023137740039
5,21,"[11, 15, 40]","[47.0, 8.0, 9.25]",0.2478770924691572
5,22,"[19, 29, 56]","[24.0, 7.75, 46.0]",0.17365864017620666
5,23,"[19, 29, 56]","[57.75, 52.0, 44.25]",0.2221975796417424
5,24,"[6, 8, 21, 33, 50]","[30.25, 26.0, 58.0, 14.0, 46.75]",0.28791127955642104
5,25,"[2, 7, 39, 53]","[3.25, 50.5, 5.5, 21.75]",0.06835540815647276
6,26,"[5, 16, 24]","[25.75, 54.0, 40.75]",0.04370152378603058
6,27,"[10, 49, 51]","[16.5, 59.5, 62.5]",0.08124706540990347
6,28,"[30, 47]","[57.5, 16.5]",0.11920163142376908
6,29,[17],[14.5],0.6182052958043542
6,30,"[5, 16, 24]","[64.25, 67.5, 19.0]",0.13764448357594253
7,31,"[19, 29, 56]","[47.25, 7.25, 32.5]",0.04945103839226224
7,32,"[23, 25, 41, 52]","[59.5, 35.0, 33.25, 15.25]",0.25240183759649826
7,33,"[4, 12, 14, 20]","[16.75, 26.0, 68.75, 52.25]",0.3003279310221546
7,34,"[22, 26, 34, 54, 60]","[33.75, 20.5, 9.5, 70.25, 29.75]",0.10335104730139656
7,35,"[27, 31, 46, 55]","[10.25, 18.5, 67.5, 56.0]",0.2944681456876884
8,36,"[35, 37]","[1.0, 17.75]",0.12094532217047613
8,37,[],[],0.10578759551566505
8,38,"[3, 9, 43, 57]","[31.5, 20.5, 33.0, 25.0]",0.3469035935160474
8,39,[],[],0.29319707285208385
8,40,"[11, 15, 40]","[68.5, 46.25, 70.0]",0.13316641594572756
9,41,"[28, 42, 58]","[68.75, 9.5, 41.0]",0.15433740784938652
9,42,"[2, 7, 39, 53]","[57.0, 71.5, 62.25, 55.5]",0.16655042086589444
9,43,"[23, 25, 41, 52]","[46.25, 59.25, 59.0, 33.25]",0.2762781128922872
9,44,"[18, 32, 36, 38]","[35.0, 21.75, 19.0, 22.0]",0.14511841533062508
9,45,"[10, 49, 51]","[49.0, 74.5, 20.75]",0.2577156430618068
10,46,[13],[2.75],0.11195203344334068
10,47,"[19, 29, 56]","[33.75, 64.5, 37.75]",0.19279883411420415
10,48,"[10, 49, 51]","[65.75, 33.5, 2.5]",0.24312729397163008
10,49,"[4, 12, 14, 20]","[64.75, 44.5, 38.75, 51.0]",0.21567125823503402
10,50,"[4, 12, 14, 20]","[67.5, 51.0, 65.75, 71.0]",0.23645058023579119
11,51,"[6, 8, 21, 33, 50]","[58.0, 3.0, 58.5, 17.0, 17.75]",0.2143525487630507
11,52,"[5, 16, 24]","[18.25, 57.5, 41.0]",0.01250883683928724
11,53,[],[],0.2827151446367278
11,54,"[23, 25, 41, 52]","[9.75, 25.0, 36.75, 69.5]",0.20554170957542506
11,55,[17],[7.0],0.28488176018550926
12,56,"[22, 26, 34, 54, 60]","[59.0, 12.25, 12.25, 54.25, 31.5]",0.20922013105262427
12,57,"[28, 42, 58]","[19.5, 17.0, 38.5]",0.30247117275083174
12,58,"[18, 32, 36, 38]","[52.5, 38.5, 0.75, 58.75]",0.026718506659812683
12,59,"[2, 7, 39, 53]","[48.25, 37.25, 24.0, 10.25]",0.34178752252392847
12,60,"[4, 12, 14, 20]","[56.0, 20.75, 34.25, 70.5]",0.11980266701280269
13,61,"[19, 29, 56]","[34.25, 15.0, 19.75]",0.15604984896376053
13,62,"[22, 26, 34, 54, 60]","[69.75, 56.75, 3.75, 68.75, 38.75]",0.09789145833531877
13,63,"[10, 49, 51]","[29.25, 14.75, 42.0]",0.12560437906503175
13,64,"[5, 16, 24]","[46.5, 67.5, 2.25]",0.4259667254676571
13,65,"[28, 42, 58]","[37.5, 11.5, 43.25]",0.19448758816823178
14,66,[17],[16.25],0.2711808770663892
14,67,"[44, 45, 59]","[72.75, 9.25, 67.0]",0.279460317444452
14,68,"[22, 26, 34, 54, 60]","[1.0, 8.0, 54.5, 50.25, 60.5]",0.31585698928063843
14,69,"[35, 37]","[56.0, 42.25]",0.02648694088637253
14,70,"[10, 49, 51]","[29.0, 47.0, 3.25]",0.10701487532214779
15,71,"[2, 7, 39, 53]","[6.25, 73.25, 42.0, 3.25]",0.44626626314530105
15,72,"[35, 37]","[63.5, 24.0]",0.02371876446328986
15,73,"[23, 25, 41, 52]","[2.25, 18.5, 43.25, 34.75]",0.36783653496898
15,74,[],[],0.015058175649724352
15,75,"[2, 7, 39, 53]","[7.5, 61.75, 60.5, 18.25]",0.14712026177270476
16,76,"[2, 7, 39, 53]","[23.25, 25.75, 39.25, 56.75]",0.11028330841768934
16,77,"[44, 45, 59]","[28.75, 57.25, 0.5]",0.20705625929736585
16,78,"[1, 48]","[23.25, 47.0]",0.30623791935700756
16,79,"[19, 29, 56]","[27.5, 66.5, 67.0]",0.30260374617591074
16,80,"[1, 48]","[1.0, 50.75]",0.0738187667520265
17,81,"[11, 15, 40]","[27.25, 12.25, 52.5]",0.28536094471226825
17,82,[13],[40.75],0.031748959766251424
17,83,"[22, 26, 34, 54, 60]","[37.75, 13.0, 62.75, 62.5, 28.0]",0.228759726405799
17,84,"[44, 45, 59]","[5.5, 0.25, 16.75]",0.2491830508092221
17,85,"[30, 47]","[57.75, 61.0]",0.20494731830645915
18,86,"[1, 48]","[42.75, 50.75]",0.3640815699642515
18,87,"[22, 26, 34, 54, 60]","[59.75, 64.25, 26.0, 21.75, 1.5]",0.028442665193052757
18,88,"[3, 9, 43, 57]","[12.0, 17.25, 18.75, 1.75]",0.2191108469633877
18,89,"[44, 45, 59]","[70.0, 1.5, 6.75]",0.355815616969863
18,90,"[23, 25, 41, 52]","[49.0, 52.5, 72.25, 3.25]",0.032549300909444905
19,91,"[10, 49, 51]","[26.25, 34.5, 58.5]",0.025137088621867427
19,92,"[35, 37]","[14.5, 46.25]",0.2014537368362125
19,93,"[27, 31, 46, 55]","[70.5, 9.25, 5.0, 68.5]",0.381726560311648
19,94,"[28, 42, 58]","[49.75, 8.5, 10.25]",0.24060203290112017
19,95,"[19, 29, 56]","[52.5, 6.75, 18.25]",0.1510805813291519
20,96,"[10, 49, 51]","[68.0, 71.0, 2.25]",0.02413712296437385
20,97,"[10, 49, 51]","[51.75, 45.25, 11.5]",0.33205870302807233
20,98,"[10, 49, 51]","[51.0, 60.25, 5.0]",0.28022940258163
20,99,"[27, 31, 46, 55]","[5.75, 72.0, 47.5, 15.25]",0.2380701073135264
20,100,"[19, 29, 56]","[10.0, 70.25, 30.25]",0.1255046641123974
21,101,"[27, 31, 46, 55]","[13.75, 62.25, 33.25, 55.25]",0.025925483639204983
21,102,"[4, 12, 14, 20]","[31.25, 10.0, 49.75, 23.5]",0.2924590532818409
21,103,"[5, 16, 24]","[7.5, 35.5, 72.0]",0.3157327509557717
21,104,"[11, 15, 40]","[49.25, 19.75, 24.0]",0.07928858952002217
21,105,"[3, 9, 43, 57]","[64.0, 59.75, 12.0, 42.0]",0.28659412260316036
22,106,"[6, 8, 21, 33, 50]","[51.25, 57.75, 72.25, 63.75, 75.0]",0.3234555943623459
22,107,"[6, 8, 21, 33, 50]","[41.5, 3.25, 20.75, 5.25, 58.25]",0.03420051408359924
22,108,"[1, 48]","[15.75, 66.75]",0.1291775272494484
22,109,[13],[64.25],0.11990771009561828
22,110,[17],[43.75],0.3932586542089882
23,111,[17],[12.75],0.2126286459126648
23,112,"[23, 25, 41, 52]","[43.25, 3.5, 32.75, 10.75]",0.18308905304839374
23,113,"[1, 48]","[24.25, 35.25]",0.23087314144588614
23,114,[],[],0.1442067487943842
23,115,"[22, 26, 34, 54, 60]","[40.0, 16.75, 2.25, 55.75, 66.0]",0.2292024107986712
24,116,"[19, 29, 56]","[8.0, 13.5, 45.25]",0.23627597308573697
24,117,"[44, 45, 59]","[33.5, 70.25, 20.5]",0.07465916920955987
24,118,"[2, 7, 39, 53]","[65.75, 37.75, 44.25, 14.75]",0.04656163770020307
24,119,"[35, 37]","[23.5, 1.25]",0.3504954492277244
24,120,"[5, 16, 24]","[68.25, 30.5, 54.75]",0.29200777077677575
25,121,"[5, 16, 24]","[23.75, 9.75, 9.5]",0.16677088619962993
25,122,"[4, 12, 14, 20]","[42.75, 21.5, 37.75, 69.0]",0.26426754940444946
25,123,"[5, 16, 24]","[30.0, 57.0, 24.75]",0.24844747509073237
25,124,"[19, 29, 56]","[41.5, 61.75, 75.0]",0.19876255472902035
25,125,"[2, 7, 39, 53]","[48.75, 7.75, 62.5, 47.25]",0.12175153457616787
26,126,"[30, 47]","[61.5, 32.5]",0.29756086740395793
26,127,"[4, 12, 14, 20]","[70.25, 54.75, 68.75, 69.25]",0.0655021710699366
26,128,"[44, 45, 59]","[22.75, 22.5, 59.5]",0.32444798638144595
26,129,"[11, 15, 40]","[24.5, 73.25, 38.5]",0.1081545439158486
26,130,"[27, 31, 46, 55]","[26.0, 40.25, 50.25, 56.25]",0.20433443122881081
27,131,"[6, 8, 21, 33, 50]","[53.5, 50.75, 54.25, 31.5, 70.5]",0.24838894323099006
27,132,"[1, 48]","[34.25, 63.75]",0.11253496855412791
27,133,"[1, 48]","[33.25, 53.25]",0.3829414872384733
27,134,"[2, 7, 39, 53]","[25.5, 19.75, 42.75, 2.0]",0.17243580080155674
27,135,"[6, 8, 21, 33, 50]","[15.75, 12.5, 4.25, 48.0, 2.5]",0.08369880017485196
28,136,"[30, 47]","[15.25, 1.0]",0.05426411706688496
28,137,[],[],0.08432361955061747
28,138,"[19, 29, 56]","[60.25, 69.5, 34.75]",0.2344312262899513
28,139,[17],[63.5],0.38555512100489353
28,140,[17],[44.25],0.24142591608765288
29,141,"[22, 26, 34, 54, 60]","[15.5, 29.5, 30.75, 72.75, 40.25]",0.12463495079934057
29,142,"[23, 25, 41, 52]","[29.75, 57.5, 33.0, 60.0]",0.26489789089448773
29,143,[17],[42.5],0.28630638681754284
29,144,[],[],0.07766390037960297
29,145,"[30, 47]","[35.5, 50.25]",0.24649687110902582
30,146,"[22, 26, 34, 54, 60]","[1.25, 35.75, 23.25, 9.0, 69.75]",0.2670532911054916
30,147,"[4, 12, 14, 20]","[20.75, 37.25, 62.25, 65.75]",0.04138790723372886
30,148,"[5, 16, 24]","[16.0, 43.0, 60.5]",0.0644077739569448
30,149,[17],[20.0],0.3373417720872169
30,150,"[23, 25, 41, 52]","[18.5, 4.75, 66.75, 68.5]",0.28980925561661797
31,151,"[30, 47]","[49.0, 41.5]",0.41107731357719396
31,152,"[6, 8, 21, 33, 50]","[24.75, 72.25, 28.5, 3.75, 44.5]",0.16215808422906747
31,153,"[22, 26, 34, 54, 60]","[75.0, 63.0, 6.5, 11.75, 51.75]",0.12289890944598861
31,154,"[3, 9, 43, 57]","[18.5, 58.25, 2.0, 60.5]",0.11795593885541797
31,155,"[22, 26, 34, 54, 60]","[25.0, 53.5, 68.5, 27.75, 17.25]",0.1859097538923321
32,156,"[28, 42, 58]","[14.0, 59.5, 18.5]",0.31068688027914704
32,157,"[28, 42, 58]","[26.5, 38.25, 25.0]",0.013517711084568649
32,158,"[3, 9, 43, 57]","[54.25, 53.5, 57.25, 27.0]",0.1333301007724281
32,159,"[22, 26, 34, 54, 60]","[46.5, 42.5, 32.0, 40.25, 64.0]",0.22764706774293508
32,160,"[11, 15, 40]","[41.25, 26.5, 38.0]",0.3148182401209211
33,161,"[2, 7, 39, 53]","[48.75, 28.0, 57.75, 3.25]",0.2623626957791969
33,162,"[4, 12, 14, 20]","[66.25, 30.25, 60.0, 48.75]",0.3584412346129718
33,163,"[28, 42, 58]","[30.5, 41.0, 21.0]",0.13820171128752629
33,164,"[44, 45, 59]","[71.5, 13.75, 56.0]",0.06850724635481273
33,165,"[5, 16, 24]","[62.75, 6.0, 73.5]",0.17248711196549227
34,166,"[18, 32, 36, 38]","[69.5, 19.0, 55.0, 54.0]",0.3123028395302995
34,167,"[35, 37]","[69.5, 51.0]",0.2990621178929482
34,168,[],[],0.100955810016067
34,169,[17],[51.5],0.273466576901021
34,170,"[1, 48]","[17.75, 33.75]",0.014212655659664168
35,171,"[3, 9, 43, 57]","[63.75, 34.75, 26.25, 25.25]",0.20707120400389067
35,172,"[5, 16, 24]","[21.5, 47.75, 53.75]",0.015736656357154554
35,173,"[10, 49, 51]","[18.75, 73.5, 67.75]",0.18762908959631394
35,174,"[18, 32, 36, 38]","[15.0, 50.25, 7.25, 28.5]",0.46110894423371734
35,175,"[6, 8, 21, 33, 50]","[12.75, 45.25, 57.5, 2.5, 68.75]",0.12845410580892336
36,176,"[5, 16, 24]","[53.5, 32.75, 54.25]",0.04348906107741393
36,177,"[11, 15, 40]","[16.25, 71.5, 7.25]",0.07324039993160045
36,178,"[22, 26, 34, 54, 60]","[65.0, 41.0, 39.5, 55.25, 51.25]",0.02220917659130509
36,179,"[44, 45, 59]","[47.0, 41.5, 19.25]",0.4114415082442964
36,180,"[3, 9, 43, 57]","[33.75, 70.75, 46.25, 28.25]",0.44961985415538425
37,181,"[27, 31, 46, 55]","[51.5, 73.75, 25.0, 51.75]",0.21968841476179632
37,182,"[11, 15, 40]","[70.5, 7.75, 27.0]",0.08812757033648186
37,183,"[1, 48]","[24.0, 4.5]",0.22074978064453868
37,184,"[30, 47]","[69.25, 70.5]",0.09168878569808783
37,185,"[10, 49, 51]","[67.25, 24.0, 51.25]",0.37974544855909537
38,186,"[2, 7, 39, 53]","[64.0, 60.75, 48.25, 44.75]",0.13985151914114563
38,187,"[35, 37]","[38.75, 21.5]",0.17164520683061565
38,188,[],[],0.07078363472728205
38,189,"[10, 49, 51]","[31.25, 37.5, 53.75]",0.30216209502162916
38,190,"[5, 16, 24]","[45.0, 45.5, 51.0]",0.31555754427932753
39,191,[],[],0.4443084189517384
39,192,"[2, 7, 39, 53]","[67.0, 34.5, 9.25, 5.5]",0.07886103370166961
39,193,"[19, 29, 56]","[32.25, 61.75, 57.75]",0.31508132327553123
39,194,"[6, 8, 21, 33, 50]","[62.75, 69.5, 68.0, 48.75, 34.0]",0.09449942690470596
39,195,"[44, 45, 59]","[32.0, 35.0, 41.75]",0.06724979716635471
40,196,"[1, 48]","[6.0, 43.75]",0.18346985089018283
