task_id,task_type,description,pre_tasks,requirements,affected_factors
1,Type C,Description task 1,"[415, 226]","{""certificates"": [""OSCE""], ""majors"": ""DS"", ""type_majors"": ""Avg""}","[(1, 'Product', 3), (2, 'Product', 4), (3, 'Product', 2), (4, 'Product', 2), (5, 'Product', 3), (6, 'Product', 2), (7, 'Product', 3), (8, 'Product', 3), (9, 'Product', 5), (10, 'Product', 2), (11, 'Environment', 2), (12, 'Environment', 5), (13, 'Environment', 5), (14, 'Environment', 3), (15, 'Environment', 4), (16, 'Environment', 4), (17, 'Environment', 4), (18, 'Environment', 5), (19, 'Environment', 1), (20, 'Environment', 4)]"
2,Type B,Description task 2,"[157, 71, 272, 362, 444]","{""certificates"": [""CHFI""], ""majors"": ""Math"", ""type_majors"": ""Excel""}","[(1, 'Product', 3), (2, 'Product', 4), (3, 'Product', 4), (4, 'Product', 4), (5, 'Product', 4), (6, 'Product', 5), (7, 'Product', 5), (8, 'Product', 3), (9, 'Product', 3), (10, 'Product', 3), (11, 'Environment', 1), (12, 'Environment', 4), (13, 'Environment', 1), (14, 'Environment', 2), (15, 'Environment', 5), (16, 'Environment', 5), (17, 'Environment', 4), (18, 'Environment', 4), (19, 'Environment', 3), (20, 'Environment', 2)]"
3,Type A,Description task 3,"[5, 311, 313]","{""certificates"": [""OSCP""], ""majors"": ""Math"", ""type_majors"": ""Excel""}","[(1, 'Product', 5), (2, 'Product', 3), (3, 'Product', 2), (4, 'Product', 4), (5, 'Product', 2), (6, 'Product', 1), (7, 'Product', 2), (8, 'Product', 2), (9, 'Product', 2), (10, 'Product', 5), (11, 'Environment', 1), (12, 'Environment', 5), (13, 'Environment', 1), (14, 'Environment', 3), (15, 'Environment', 5), (16, 'Environment', 4), (17, 'Environment', 4), (18, 'Environment', 4), (19, 'Environment', 5), (20, 'Environment', 4)]"
4,Type A,Description task 4,"[473, 139, 468]","{""certificates"": [""OSCP""], ""majors"": ""CS"", ""type_majors"": ""Good""}","[(1, 'Product', 4), (2, 'Product', 2), (3, 'Product', 2), (4, 'Product', 4), (5, 'Product', 3), (6, 'Product', 1), (7, 'Product', 2), (8, 'Product', 3), (9, 'Product', 1), (10, 'Product', 1), (11, 'Environment', 3), (12, 'Environment', 2), (13, 'Environment', 5), (14, 'Environment', 3), (15, 'Environment', 5), (16, 'Environment', 2), (17, 'Environment', 1), (18, 'Environment', 5), (19, 'Environment', 2), (20, 'Environment', 4)]"
5,Type B,Description task 5,"[166, 96, 123, 275]","{""certificates"": [""CISSP""], ""majors"": ""CS"", ""type_majors"": ""Good""}","[(1, 'Product', 1), (2, 'Product', 4), (3, 'Product', 1), (4, 'Product', 3), (5, 'Product', 3), (6, 'Product', 1), (7, 'Product', 4), (8, 'Product', 2), (9, 'Product', 2), (10, 'Product', 3), (11, 'Environment', 5), (12, 'Environment', 3), (13, 'Environment', 1), (14, 'Environment', 1), (15, 'Environment', 4), (16, 'Environment', 2), (17, 'Environment', 1), (18, 'Environment', 3), (19, 'Environment', 3), (20, 'Environment', 2)]"
6,Type B,Description task 6,"[401, 137, 457, 423, 381, 283]","{""certificates"": [""CEH""], ""majors"": ""CS"", ""type_majors"": ""Excel""}","[(1, 'Product', 5), (2, 'Product', 4), (3, 'Product', 1), (4, 'Product', 4), (5, 'Product', 1), (6, 'Product', 2), (7, 'Product', 5), (8, 'Product', 4), (9, 'Product', 3), (10, 'Product', 1), (11, 'Environment', 4), (12, 'Environment', 1), (13, 'Environment', 2), (14, 'Environment', 5), (15, 'Environment', 5), (16, 'Environment', 2), (17, 'Environment', 1), (18, 'Environment', 4), (19, 'Environment', 2), (20, 'Environment', 5)]"
7,Type C,Description task 7,"[153, 371, 20]","{""certificates"": [""CHFI""], ""majors"": ""EE&TC Eng"", ""type_majors"": ""Good""}","[(1, 'Product', 1), (2, 'Product', 5), (3, 'Product', 5), (4, 'Product', 4), (5, 'Product', 4), (6, 'Product', 4), (7, 'Product', 5), (8, 'Product', 4), (9, 'Product', 3), (10, 'Product', 4), (11, 'Environment', 1), (12, 'Environment', 1), (13, 'Environment', 3), (14, 'Environment', 4), (15, 'Environment', 5), (16, 'Environment', 2), (17, 'Environment', 1), (18, 'Environment', 3), (19, 'Environment', 5), (20, 'Environment', 3)]"
8,Type C,Description task 8,"[290, 236, 124, 11, 390, 346]","{""certificates"": [""CHFI""], ""majors"": ""Math"", ""type_majors"": ""Avg""}","[(1, 'Product', 2), (2, 'Product', 1), (3, 'Product', 3), (4, 'Product', 5), (5, 'Product', 2), (6, 'Product', 5), (7, 'Product', 4), (8, 'Product', 1), (9, 'Product', 1), (10, 'Product', 3), (11, 'Environment', 4), (12, 'Environment', 2), (13, 'Environment', 4), (14, 'Environment', 4), (15, 'Environment', 5), (16, 'Environment', 4), (17, 'Environment', 1), (18, 'Environment', 4), (19, 'Environment', 5), (20, 'Environment', 1)]"
9,Type B,Description task 9,[481],"{""certificates"": [""OSCE""], ""majors"": ""EE&TC Eng"", ""type_majors"": ""Excel""}","[(1, 'Product', 3), (2, 'Product', 3), (3, 'Product', 1), (4, 'Product', 5), (5, 'Product', 2), (6, 'Product', 2), (7, 'Product', 5), (8, 'Product', 3), (9, 'Product', 5), (10, 'Product', 3), (11, 'Environment', 4), (12, 'Environment', 4), (13, 'Environment', 1), (14, 'Environment', 5), (15, 'Environment', 5), (16, 'Environment', 4), (17, 'Environment', 1), (18, 'Environment', 2), (19, 'Environment', 3), (20, 'Environment', 2)]"
10,Type B,Description task 10,"[297, 76, 456, 98, 292, 378]","{""certificates"": [""CEH""], ""majors"": ""IT"", ""type_majors"": ""Excel""}","[(1, 'Product', 5), (2, 'Product', 5), (3, 'Product', 5), (4, 'Product', 3), (5, 'Product', 5), (6, 'Product', 4), (7, 'Product', 3), (8, 'Product', 1), (9, 'Product', 4), (10, 'Product', 5), (11, 'Environment', 5), (12, 'Environment', 4), (13, 'Environment', 4), (14, 'Environment', 1), (15, 'Environment', 3), (16, 'Environment', 4), (17, 'Environment', 1), (18, 'Environment', 1), (19, 'Environment', 2), (20, 'Environment', 4)]"
11,Type C,Description task 11,"[357, 432, 355, 107, 375, 260]","{""certificates"": [""OSCE""], ""majors"": ""IT"", ""type_majors"": ""Avg""}","[(1, 'Product', 2), (2, 'Product', 2), (3, 'Product', 5), (4, 'Product', 2), (5, 'Product', 5), (6, 'Product', 5), (7, 'Product', 3), (8, 'Product', 4), (9, 'Product', 3), (10, 'Product', 1), (11, 'Environment', 2), (12, 'Environment', 3), (13, 'Environment', 4), (14, 'Environment', 1), (15, 'Environment', 3), (16, 'Environment', 1), (17, 'Environment', 2), (18, 'Environment', 5), (19, 'Environment', 5), (20, 'Environment', 1)]"
12,Type B,Description task 12,"[212, 493]","{""certificates"": [""OSCP""], ""majors"": ""CS"", ""type_majors"": ""Outst""}","[(1, 'Product', 2), (2, 'Product', 5), (3, 'Product', 1), (4, 'Product', 4), (5, 'Product', 4), (6, 'Product', 5), (7, 'Product', 5), (8, 'Product', 3), (9, 'Product', 4), (10, 'Product', 2), (11, 'Environment', 5), (12, 'Environment', 2), (13, 'Environment', 3), (14, 'Environment', 3), (15, 'Environment', 5), (16, 'Environment', 3), (17, 'Environment', 2), (18, 'Environment', 2), (19, 'Environment', 1), (20, 'Environment', 1)]"
13,Type C,Description task 13,"[203, 37, 152, 173, 106]","{""certificates"": [""CSPA""], ""majors"": ""DS"", ""type_majors"": ""Good""}","[(1, 'Product', 1), (2, 'Product', 5), (3, 'Product', 2), (4, 'Product', 3), (5, 'Product', 2), (6, 'Product', 1), (7, 'Product', 3), (8, 'Product', 3), (9, 'Product', 5), (10, 'Product', 2), (11, 'Environment', 2), (12, 'Environment', 3), (13, 'Environment', 5), (14, 'Environment', 4), (15, 'Environment', 2), (16, 'Environment', 5), (17, 'Environment', 1), (18, 'Environment', 5), (19, 'Environment', 2), (20, 'Environment', 4)]"
14,Type B,Description task 14,"[96, 468]","{""certificates"": [""CEH""], ""majors"": ""CS"", ""type_majors"": ""Excel""}","[(1, 'Product', 2), (2, 'Product', 1), (3, 'Product', 5), (4, 'Product', 3), (5, 'Product', 3), (6, 'Product', 4), (7, 'Product', 1), (8, 'Product', 1), (9, 'Product', 4), (10, 'Product', 3), (11, 'Environment', 1), (12, 'Environment', 5), (13, 'Environment', 2), (14, 'Environment', 4), (15, 'Environment', 1), (16, 'Environment', 4), (17, 'Environment', 5), (18, 'Environment', 3), (19, 'Environment', 1), (20, 'Environment', 1)]"
