task_id,task_type,description,pre_tasks,requirements,affected_factors
1,Type B,Description task 1,"[11, 6, 16, 9, 2, 12, 14]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 1], [2, ""Product"", 3], [3, ""Product"", 1], [4, ""Product"", 4], [5, ""Product"", 5], [6, ""Product"", 5], [7, ""Product"", 2], [8, ""Product"", 3], [9, ""Product"", 2], [10, ""Product"", 2], [11, ""Environment"", 5], [12, ""Environment"", 3], [13, ""Environment"", 4], [14, ""Environment"", 4], [15, ""Environment"", 1], [16, ""Environment"", 2], [17, ""Environment"", 4], [18, ""Environment"", 4], [19, ""Environment"", 1], [20, ""Environment"", 5]]"
2,Type B,Description task 2,"[10, 18, 15, 11, 14, 9, 12]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 5], [2, ""Product"", 2], [3, ""Product"", 5], [4, ""Product"", 4], [5, ""Product"", 4], [6, ""Product"", 3], [7, ""Product"", 1], [8, ""Product"", 4], [9, ""Product"", 3], [10, ""Product"", 2], [11, ""Environment"", 5], [12, ""Environment"", 4], [13, ""Environment"", 2], [14, ""Environment"", 4], [15, ""Environment"", 3], [16, ""Environment"", 3], [17, ""Environment"", 1], [18, ""Environment"", 5], [19, ""Environment"", 3], [20, ""Environment"", 1]]"
3,Type A,Description task 3,"[14, 18, 9, 5, 13, 15, 6]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 2], [3, ""Product"", 2], [4, ""Product"", 1], [5, ""Product"", 1], [6, ""Product"", 3], [7, ""Product"", 5], [8, ""Product"", 3], [9, ""Product"", 1], [10, ""Product"", 1], [11, ""Environment"", 5], [12, ""Environment"", 2], [13, ""Environment"", 3], [14, ""Environment"", 5], [15, ""Environment"", 1], [16, ""Environment"", 1], [17, ""Environment"", 4], [18, ""Environment"", 4], [19, ""Environment"", 1], [20, ""Environment"", 5]]"
4,Type B,Description task 4,"[8, 9, 15, 3, 11, 13, 16]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 2], [2, ""Product"", 3], [3, ""Product"", 4], [4, ""Product"", 3], [5, ""Product"", 4], [6, ""Product"", 5], [7, ""Product"", 4], [8, ""Product"", 4], [9, ""Product"", 3], [10, ""Product"", 3], [11, ""Environment"", 4], [12, ""Environment"", 1], [13, ""Environment"", 5], [14, ""Environment"", 3], [15, ""Environment"", 2], [16, ""Environment"", 4], [17, ""Environment"", 5], [18, ""Environment"", 3], [19, ""Environment"", 3], [20, ""Environment"", 5]]"
5,Type C,Description task 5,"[7, 12, 6, 1, 17, 8, 10]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 4], [3, ""Product"", 5], [4, ""Product"", 5], [5, ""Product"", 5], [6, ""Product"", 1], [7, ""Product"", 1], [8, ""Product"", 2], [9, ""Product"", 1], [10, ""Product"", 3], [11, ""Environment"", 2], [12, ""Environment"", 3], [13, ""Environment"", 3], [14, ""Environment"", 1], [15, ""Environment"", 3], [16, ""Environment"", 5], [17, ""Environment"", 5], [18, ""Environment"", 4], [19, ""Environment"", 5], [20, ""Environment"", 1]]"
6,Type C,Description task 6,"[3, 14, 13, 17, 12, 9, 16]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 3], [2, ""Product"", 3], [3, ""Product"", 5], [4, ""Product"", 1], [5, ""Product"", 5], [6, ""Product"", 3], [7, ""Product"", 5], [8, ""Product"", 2], [9, ""Product"", 4], [10, ""Product"", 3], [11, ""Environment"", 1], [12, ""Environment"", 5], [13, ""Environment"", 1], [14, ""Environment"", 5], [15, ""Environment"", 4], [16, ""Environment"", 1], [17, ""Environment"", 4], [18, ""Environment"", 4], [19, ""Environment"", 3], [20, ""Environment"", 3]]"
7,Type B,Description task 7,"[16, 9, 14, 11, 18, 8, 1]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 3], [3, ""Product"", 4], [4, ""Product"", 3], [5, ""Product"", 5], [6, ""Product"", 3], [7, ""Product"", 4], [8, ""Product"", 2], [9, ""Product"", 4], [10, ""Product"", 3], [11, ""Environment"", 2], [12, ""Environment"", 4], [13, ""Environment"", 1], [14, ""Environment"", 2], [15, ""Environment"", 2], [16, ""Environment"", 3], [17, ""Environment"", 3], [18, ""Environment"", 2], [19, ""Environment"", 2], [20, ""Environment"", 4]]"
8,Type C,Description task 8,"[16, 10, 17, 5, 18, 7, 6]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 5], [2, ""Product"", 5], [3, ""Product"", 3], [4, ""Product"", 4], [5, ""Product"", 1], [6, ""Product"", 4], [7, ""Product"", 2], [8, ""Product"", 2], [9, ""Product"", 2], [10, ""Product"", 4], [11, ""Environment"", 2], [12, ""Environment"", 3], [13, ""Environment"", 3], [14, ""Environment"", 4], [15, ""Environment"", 1], [16, ""Environment"", 3], [17, ""Environment"", 5], [18, ""Environment"", 1], [19, ""Environment"", 1], [20, ""Environment"", 1]]"
9,Type B,Description task 9,"[13, 10, 1, 12, 15, 14, 2]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 4], [2, ""Product"", 2], [3, ""Product"", 2], [4, ""Product"", 4], [5, ""Product"", 5], [6, ""Product"", 3], [7, ""Product"", 5], [8, ""Product"", 5], [9, ""Product"", 5], [10, ""Product"", 1], [11, ""Environment"", 1], [12, ""Environment"", 1], [13, ""Environment"", 5], [14, ""Environment"", 5], [15, ""Environment"", 4], [16, ""Environment"", 5], [17, ""Environment"", 5], [18, ""Environment"", 1], [19, ""Environment"", 2], [20, ""Environment"", 2]]"
10,Type B,Description task 10,"[11, 13, 5, 9, 17, 2, 7]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 5], [2, ""Product"", 2], [3, ""Product"", 2], [4, ""Product"", 4], [5, ""Product"", 1], [6, ""Product"", 3], [7, ""Product"", 2], [8, ""Product"", 2], [9, ""Product"", 3], [10, ""Product"", 4], [11, ""Environment"", 1], [12, ""Environment"", 1], [13, ""Environment"", 4], [14, ""Environment"", 2], [15, ""Environment"", 2], [16, ""Environment"", 1], [17, ""Environment"", 2], [18, ""Environment"", 2], [19, ""Environment"", 5], [20, ""Environment"", 4]]"
11,Type C,Description task 11,"[7, 3, 6, 14, 8, 2, 1]","{""certificates"": [], ""majors"": """", ""type_majors"": """"}","[[1, ""Product"", 2], [2, ""Product"", 3], [3, ""Product"", 1], [4, ""Product"", 5], [5, ""Product"", 5], [6, ""Product"", 3], [7, ""Product"", 3], [8, ""Product"", 4], [9, ""Product"", 3], [10, ""Product"", 3], [11, ""Environment"", 3], [12, ""Environment"", 5], [13, ""Environment"", 5], [14, ""Environment"", 2], [15, ""Environment"", 5], [16, ""Environment"", 2], [17, ""Environment"", 5], [18, ""Environment"", 5], [19, ""Environment"", 5], [20, ""Environment"", 4]]"
